"","項目","最小値","第一四分位数","中央値","平均値","第三四分位数","最大値","標準偏差"
"1","戦闘力",3723,4069,4347,4412.18,4604,5637,444.57
"2","闇の精霊",975,1027,1058,1062.61,1094,1222,50.38
"3","持続スキル",50,68,80,76.5,86,100,11.73
"4","知識(一般)",226,236,240,237.62,240,240,4.07
"5","知識(ボス)",96,148,164,176.49,197,345,47.82
"6","知識(ボスLv報酬)",8,15,19.5,23.48,26,71,12.77
"7","ペット収集",0,0,4,7.22,7,62,14.52
"8","図鑑",48,102,102,98.52,102,102,9.98
"9","キャラLv",322,362,372,364.19,372,372,11.92
"10","スキル修練Lv",44,48,51,51.08,54,64,4.36
"11","衣装",20,53,80,68.01,80,80,18.47
"12","装備",982,1154.5,1269,1280.17,1379,1564,156.31
"13","アクセ",310,344,372,377.28,402,506,42.27
"14","遺物",37,41,72,63.71,86,118,20.58
"15","水晶",16,64,82,78.72,99,127,26
"16","魔力刻印",7.75,43,63,65.26,85,133,30.27
"17","光原石",0,26,32,32.57,38,67,12.45
"18","成長ボーナス",308,316,316,348.2,350,534,54.9
